Region||Category||Product||Measure||Date||Value
East||Coffee||Sumatra||Plan||20120101|| 4.0
East||Coffee||Sumatra||Plan||20120201|| 89.0
East||Coffee||Sumatra||Plan||20120301|| 2.0
East||Coffee||Sumatra||Plan||20120401|| 44.0
East||Coffee||Sumatra||Plan||20120501|| 43.0
East||Coffee||Sumatra||Plan||20120601|| 57.0
East||Coffee||Sumatra||Plan||20120701|| 95.0
East||Coffee||Sumatra||Plan||20120801|| 77.0
East||Coffee||Sumatra||Plan||20120901|| 32.0
East||Coffee||Sumatra||Plan||20121001|| 15.0
East||Coffee||Sumatra||Plan||20121101|| 3.0
East||Coffee||Sumatra||Plan||20121201|| 19.0
East||Coffee||Sumatra||Sales||20120101|| 4.0
East||Coffee||Sumatra||Sales||20120201|| 89.0
East||Coffee||Sumatra||Sales||20120301|| 2.0
East||Coffee||Sumatra||Sales||20120401|| 44.0
East||Coffee||Sumatra||Sales||20120501|| 43.0
East||Coffee||Sumatra||Sales||20120601|| 57.0
East||Coffee||Sumatra||Sales||20120701|| 95.0
East||Coffee||Sumatra||Sales||20120801|| 77.0
East||Coffee||Sumatra||Sales||20120901|| 32.0
East||Coffee||Sumatra||Sales||20121001|| 15.0
East||Coffee||Sumatra||Sales||20121101|| 3.0
East||Coffee||Sumatra||Sales||20121201|| 19.0
East||Coffee||French Roast||Plan||20120101|| 4.0
East||Coffee||French Roast||Plan||20120201|| 89.0
East||Coffee||French Roast||Plan||20120301|| 2.0
East||Coffee||French Roast||Plan||20120401|| 44.0
East||Coffee||French Roast||Plan||20120501|| 43.0
East||Coffee||French Roast||Plan||20120601|| 57.0
East||Coffee||French Roast||Plan||20120701|| 95.0
East||Coffee||French Roast||Plan||20120801|| 77.0
East||Coffee||French Roast||Plan||20120901|| 32.0
East||Coffee||French Roast||Plan||20121001|| 15.0
East||Coffee||French Roast||Plan||20121101|| 3.0
East||Coffee||French Roast||Plan||20121201|| 19.0
East||Coffee||French Roast||Sales||20120101|| 4.0
East||Coffee||French Roast||Sales||20120201|| 89.0
East||Coffee||French Roast||Sales||20120301|| 2.0
East||Coffee||French Roast||Sales||20120401|| 44.0
East||Coffee||French Roast||Sales||20120501|| 43.0
East||Coffee||French Roast||Sales||20120601|| 57.0
East||Coffee||French Roast||Sales||20120701|| 95.0
East||Coffee||French Roast||Sales||20120801|| 77.0
East||Coffee||French Roast||Sales||20120901|| 32.0
East||Coffee||French Roast||Sales||20121001|| 15.0
East||Coffee||French Roast||Sales||20121101|| 3.0
East||Coffee||French Roast||Sales||20121201|| 19.0
East||Espresso||Mocha-Java||Plan||20120101|| 4.0
East||Espresso||Mocha-Java||Plan||20120201|| 89.0
East||Espresso||Mocha-Java||Plan||20120301|| 2.0
East||Espresso||Mocha-Java||Plan||20120401|| 44.0
East||Espresso||Mocha-Java||Plan||20120501|| 43.0
East||Espresso||Mocha-Java||Plan||20120601|| 57.0
East||Espresso||Mocha-Java||Plan||20120701|| 95.0
East||Espresso||Mocha-Java||Plan||20120801|| 77.0
East||Espresso||Mocha-Java||Plan||20120901|| 32.0
East||Espresso||Mocha-Java||Plan||20121001|| 15.0
East||Espresso||Mocha-Java||Plan||20121101|| 3.0
East||Espresso||Mocha-Java||Plan||20121201|| 19.0
East||Espresso||Mocha-Java||Sales||20120101|| 4.0
East||Espresso||Mocha-Java||Sales||20120201|| 89.0
East||Espresso||Mocha-Java||Sales||20120301|| 2.0
East||Espresso||Mocha-Java||Sales||20120401|| 44.0
East||Espresso||Mocha-Java||Sales||20120501|| 43.0
East||Espresso||Mocha-Java||Sales||20120601|| 57.0
